년,월,국적지역,체류외국인수
2022,04,파나마,84
2022,04,파라과이,214
2022,04,파키스탄,12679
2022,04,파푸아뉴기니,13
2022,04,팔라우,10
2022,04,팔레스타인,68
2022,04,페루,746
2022,04,포르투갈,243
2022,04,폴란드,732
2022,04,프랑스,6976
2022,04,피지,78
2022,04,핀란드,425
2022,04,필리핀,47804
2022,04,한국계중국인,607510
2022,04,헝가리,244
2022,04,홍콩,2508
2022,04,홍콩거주난민,15
2022,05,가나,1390
2022,05,가봉,93
2022,05,가이아나,6
2022,05,감비아,127
2022,05,과테말라,132
2022,05,교황청,2
2022,05,국적불명,1
2022,05,국제연합,58
2022,05,그레나다,3
2022,05,그리스,335
2022,05,기니,268
2022,05,기니비사우,23
2022,05,나미비아,2
2022,05,나우루,6
2022,05,나이지리아,2848
2022,05,남수단공화국,26
2022,05,남아프리카공화국,3179
2022,05,네덜란드,1467
2022,05,네팔,38584
2022,05,노르웨이,481
2022,05,뉴질랜드,3896
2022,05,니제르,9
2022,05,니카라과,49
2022,05,덴마크,522
2022,05,도미니카공화국,121
2022,05,도미니카연방,20
2022,05,독일,5847
2022,05,라오스,2270
2022,05,라이베리아,520
2022,05,라트비아,105
2022,05,러시아연방,50248
2022,05,레바논,48
2022,05,레소토,15
2022,05,루마니아,392
2022,05,룩셈부르크,31
2022,05,르완다,277
2022,05,리비아,787
2022,05,리투아니아,161
2022,05,마다가스카르,30
2022,05,마샬군도,16
2022,05,마카오,108
2022,05,말라위,38
2022,05,말레이시아,5784
2022,05,말리,234
2022,05,멕시코,1218
2022,05,모로코,1550
2022,05,모리셔스,27
2022,05,모리타니,15
2022,05,모잠비크,45
2022,05,몬테네그로,16
2022,05,몰도바,53
2022,05,몰디브,3
2022,05,몰타,22
2022,05,몽골,38185
2022,05,무국적,151
2022,05,미국,159717
2022,05,미등록국가,55
2022,05,미상,1
2022,05,미얀마,26967
2022,05,미이크로네시아,10
2022,05,바누아투,15
2022,05,바레인,15
2022,05,바베이도스,8
2022,05,바하마,5
2022,05,방글라데시,18160
2022,05,베냉,26
2022,05,베네수엘라,212
2022,05,베트남,209194
2022,05,벨기에,704
2022,05,벨로루시,300
2022,05,벨리즈,10
2022,05,보스니아헤르체고비나,12
2022,05,보츠와나,25
2022,05,볼리비아,73
2022,05,부룬디,164
2022,05,부르키나파소,50
2022,05,부베트,1
2022,05,부탄,47
2022,05,북마케도니아,15
2022,05,불가리아,177
2022,05,브라질,1931
2022,05,브루나이,127
2022,05,사모아,5
2022,05,사우디아라비아,1078
2022,05,산마리노,1
2022,05,상투메프린시페,2
2022,05,세네갈,333
2022,05,세르비아,90
2022,05,세르비아몬테네그로,1
2022,05,세이셸,3
2022,05,세인트루시아,4
2022,05,세인트빈센트그레나딘,1
2022,05,세인트크리스토퍼네비스,20
2022,05,소말리아,24
2022,05,솔로몬군도,7
2022,05,수단,300
2022,05,수리남,6
2022,05,스리랑카,20159
2022,05,스발바르,1
2022,05,스웨덴,948
2022,05,스위스,744
2022,05,스페인,1681
2022,05,슬로바크,115
2022,05,슬로베니아,66
2022,05,시리아,1572
2022,05,시에라리온,100
2022,05,싱가포르,3203
2022,05,아랍에미리트연합,645
2022,05,아르메니아,70
2022,05,아르헨티나,516
2022,05,아이슬란드,13
2022,05,아이티,193
2022,05,아일랜드,792
2022,05,아제르바이잔,294
