국적,연령대,값,데이터기준일자
세네갈,40-44세,1,2026-05-31
세네갈,45-49세,0,2026-05-31
세네갈,50-54세,0,2026-05-31
세네갈,55-59세,0,2026-05-31
세네갈,60-64세,0,2026-05-31
세네갈,65-69세,0,2026-05-31
세네갈,70-74세,0,2026-05-31
세네갈,75-79세,0,2026-05-31
세네갈,80-84세,0,2026-05-31
세네갈,85-89세,0,2026-05-31
세네갈,90-94세,0,2026-05-31
스리랑카,0-4세,19,2026-05-31
스리랑카,05-09세,26,2026-05-31
스리랑카,10-14세,25,2026-05-31
스리랑카,15-19세,10,2026-05-31
스리랑카,20-24세,46,2026-05-31
스리랑카,25-29세,145,2026-05-31
스리랑카,30-34세,225,2026-05-31
스리랑카,35-39세,274,2026-05-31
스리랑카,40-44세,258,2026-05-31
스리랑카,45-49세,120,2026-05-31
스리랑카,50-54세,10,2026-05-31
스리랑카,55-59세,2,2026-05-31
스리랑카,60-64세,0,2026-05-31
스리랑카,65-69세,0,2026-05-31
스리랑카,70-74세,0,2026-05-31
스리랑카,75-79세,0,2026-05-31
스리랑카,80-84세,0,2026-05-31
스리랑카,85-89세,0,2026-05-31
스리랑카,90-94세,0,2026-05-31
스웨덴,0-4세,0,2026-05-31
스웨덴,05-09세,0,2026-05-31
스웨덴,10-14세,0,2026-05-31
스웨덴,15-19세,0,2026-05-31
스웨덴,20-24세,0,2026-05-31
스웨덴,25-29세,1,2026-05-31
스웨덴,30-34세,0,2026-05-31
스웨덴,35-39세,0,2026-05-31
스웨덴,40-44세,0,2026-05-31
스웨덴,45-49세,0,2026-05-31
스웨덴,50-54세,0,2026-05-31
스웨덴,55-59세,0,2026-05-31
스웨덴,60-64세,0,2026-05-31
스웨덴,65-69세,0,2026-05-31
스웨덴,70-74세,0,2026-05-31
스웨덴,75-79세,0,2026-05-31
스웨덴,80-84세,1,2026-05-31
스웨덴,85-89세,0,2026-05-31
스웨덴,90-94세,0,2026-05-31
스위스,0-4세,0,2026-05-31
스위스,05-09세,0,2026-05-31
스위스,10-14세,0,2026-05-31
스위스,15-19세,0,2026-05-31
스위스,20-24세,0,2026-05-31
스위스,25-29세,0,2026-05-31
스위스,30-34세,0,2026-05-31
스위스,35-39세,0,2026-05-31
스위스,40-44세,0,2026-05-31
스위스,45-49세,0,2026-05-31
스위스,50-54세,1,2026-05-31
스위스,55-59세,0,2026-05-31
스위스,60-64세,0,2026-05-31
스위스,65-69세,0,2026-05-31
스위스,70-74세,0,2026-05-31
스위스,75-79세,0,2026-05-31
스위스,80-84세,0,2026-05-31
스위스,85-89세,0,2026-05-31
스위스,90-94세,0,2026-05-31
스페인,0-4세,0,2026-05-31
스페인,05-09세,0,2026-05-31
스페인,10-14세,0,2026-05-31
